文件名,第一行内容
第1051集 三分钟说清楚外嫁外娶的利与弊.txt,三分钟说清楚外嫁外娶的利与弊 ———— 《警世吟》 夷夏之防古所忧，基因优劣费筹谋。 杂交劣势终淘汰，自信方能立九州。 外娶徒增他族众，内婚犹保我源流。 劝君莫作杞人叹，文化根基最可求。
第1052集 为什么中华文明是血缘认同与文化.txt,为什么中华文明是血缘认同与文化认同的二元统一体？ 《殷鉴行》 青铜血食记沧桑，甲骨森然诫虎狼。 莫道同文即同种，须知异脉必异肠。 商周鼎革宗祧重，夷夏分明姓字长。 千载犹闻司母戊，铮铮纹裂移民殇。
第1053集 为什么有很多人吹捧清朝？ 揭露.txt,为什么有很多人吹捧清朝？ 揭露集体思维背后的历史认知陷阱！ #文化复兴 # 文化自信 《满江红·警世书》 暮霭沉沉，凭栏处、残阳泣血。 翻青史、粉脂污卷，蠹鱼啮阙。 三百载衣冠易犬马，五千秋礼乐成灰屑。 最堪悲、粪土饰金銮，歌无绝。 精神格，犹喧聒； 迷途客，争趋谒。 叹汉唐英魄，竟蒙尘亵。 粪坑妄称尧舜世，蛆虫敢拟麒麟骨。 待从头、涤净腐腥风，朝天阙！
第1054集 为什么说叛徒离开就没用了｜3分.txt,为什么说叛徒离开就没用了｜3分钟说清润人困境！ 《七律·斥叛徒行》 背主求荣作跳梁，一朝出走现原形。 虱虫失寄终枯槁，犬马无功自断粮。 柴氏容颜成鬼相，游牧梦话付荒唐。 劝君莫效东门啸，故国青山日月长。
第1055集 他们想让我们忘记：张纯如用生命.txt,他们想让我们忘记：张纯如用生命守护的真相 #南京大屠杀 —— 满江红·读史警世 铁卷凝霜，金陵血、寒砧未歇。 三十万、冤魂泣露，暮云凄切。 倭刀犹刻屠城印，扶桑尚掩弥天孽。 最堪惊、童稚习狼韬，噬心诀。 圣母论，皆腐叶。阶级辩，真鸩鸩。 看东瀛暗涌，鬼氛重迭。 当记常磨青锋剑，莫教再染苍生血。 待来日、雪耻靖妖氛，乾坤澈。
第1056集 他们跪着学我们——直到我们剪了.txt,他们跪着学我们——直到我们剪了头发｜宗主国的兴衰 —— 《满江红·文脉劫》 玉笏蒙尘，珠旒坠、残阳泣血。 忆往昔、衣冠南渡，万邦朝阙。 筷箸纵横书同轨，衣冠磊落昭明月。 笑藩属、表面习诗文，心肠别。 剃发令，山河裂； 易服诏，风华灭。 叹美仪尽丧，威仪崩缺。 二百载观墙生反骨，九千里慕强成呜咽。 问今人、可鉴旧疤痕，重熔铁？
第1057集 何为大一统？—— 真正的大一统.txt,何为大一统？—— 真正的大一统看这两点 《华夷鉴》 秦关铸鼎，周室分封。昔者禹甸同规，尧封共贯。岂惟弓矢绥万邦，实乃文章被八表。辨统绪于毫芒，照肝胆于史乘。 夫清室称制，诡称混一。汉垣委于胥吏，朔漠托以盟书。雪域假活佛之号，朝鲜冒中华之名。朝堂悬五色冕旒，边塞筑千重藩篱。遂使衣冠异制，法令殊途。岂有金瓯无缺，翻作马桩罗列？ 观其理民之术，塞雁各有其道。草原汗号盟血，卫藏佛衣惑众。汉地但行包税，满城独
第1058集 元代文人的悲哀｜科举取消后，他.txt,元代文人的悲哀｜科举取消后，他们竟靠这个月入百万！ —————— 【七律·元曲兴衰鉴 】 儒冠误落胡尘里， 笔底龙蛇换酒钱。 科第百年成废纸， 户籍三代锁寒烟。 王孙懒问平戎策， 瓦舍争传窦娥冤。 莫道文章憎命达， 从来体制困英贤。 —————— 【元曲兴衰鉴：科举废而市井兴，户籍定则文脉变 】 昔元以 宽纵 治天下，实为懒政。科举几废，儒生 投效无门 ，遂以笔墨谋稻粱。蒙古王公行奴隶户籍，定 儒户
第1059集 剃发易服背后的百年驯化史｜清代.txt,剃发易服背后的百年驯化史｜清代文人为何集体失声？ #思想阉割 #奴才 —— 《满江红·剃发易服叹》 散发披襟，终不似、旧时模样。 忍看他、衣冠尽改，山河悲怆。 铁骑踏碎文人骨，金刀削断青云想。 最堪怜、顶戴换头颅，成魍魉。 朱紫贵，奴才相。 笔墨贱，犬儒样。 叹经纶满腹，尽归权杖。 可记汨罗沉璧日？犹闻易水悲歌响。 问苍生、几个识风骨，朝天唱？
第1060集 华夷经纬：三千年族群治理启示录.txt,华夷经纬：三千年族群治理启示录 【华夷鉴 】 青铜铸史，殉坑现异域之颅；竹简承训，华夷辨亲疏之序。商鼎烹异族而固疆土，周礼定远近以安社稷。色目东来，元廷分四等之制；明律禁婚，朱皇融万族之血。 昔大唐盛景，胡商云集长安市；至宋室倾危，蒲氏倒戈闽海隅。盛时慕唐风而称臣，衰日认祖源而裂土。三千载兴亡轮转，九万里风雨沧桑。 今观寰宇，当持古鉴：非固步自封而排外，非盲目包容而失序。差异既存，当施差别之策；认同
第1061集 古人被嫌弃？唯物辩证法告诉你真.txt,古人被嫌弃？唯物辩证法告诉你真相！ —— 《观史箴》 今人妄议古人愚，辩证唯物竟忘渠。 轩辕造车传技早，嫘祖织帛授蚕初。 大禹功业平洪浪，愚公志气撼山墟。 莫道古时皆粪土，来路艰辛启新途。
第1062集 周天子的狠话：诸侯用夷礼？立刻.txt,周天子的狠话：诸侯用夷礼？立刻开除！ 真实夷夏观颠覆认知↑ —— 七律·辨夷夏正本 周礼王畿辨夏夷，韩文元篡竟成迷。 诸侯失礼诛名易，胡虏僭尊篡史奇。 笔削春秋存大义，腥膻史册饰非辞。 今人莫诵清人句，认贼为亲实可悲。
第1063集 和服像曲裾？不是传承是借鉴｜“.txt,和服像曲裾？不是传承是借鉴｜“吴服” 骗局拆解 《辨吴服》 吴越衣冠无定制，周裳汉裾各有因。 东邻借得残纹在，妄指吴服作祖根。 虚名惑世淆源流，正典当明醒后昆。 莫将伪说充古制，汉家风韵自长存。
第1064集 唐的遗产成宋的枷锁：归因偏差、.txt,唐的遗产成宋的枷锁：归因偏差、重文抑武，经济巅峰亦亡国！ —— 汴梁金玉朽作灰，岁贡买安终酿灾。 唐扩胡尘传甲胄，舟沉富海溺雄才。 走私暗渡千帆利，软骨高堂百战摧。 莫笑弱宋空遗恨，今人谁不溺钱财？
第1065集 天文学为何只能在中国诞生？需要.txt,天文学为何只能在中国诞生？需要定点观测+脱产团队+文字+数学 —— 《观星谣》 苍昊悬星汉，愚氓妄测天。 徙族逐寒雁，断简葬荒烟。 耒耜盈廪日，观台继火年。 谁言彗迹渺？七十六回圆。 算经传九数，文脉续千川。 莫笑前人痴，长夜独醒先。
第1066集 太平天国为何失败？列强与满清勾.txt,太平天国为何失败？列强与满清勾结，双重绞杀农民起义的黑暗真相 ！ 《满江红·读太平天国事》 烽燧连年，惊回首、满城腥血。 八旗驻、分兵锁县，虎狼牙列。 乡绅尽作朝廷犬，义旗空照秦淮月。 最堪悲、列舰锁江来，金瓯缺。 汉军散，营伍裂。 天国梦，民膏竭。 叹金田子弟，恨埋吴越。 莫道故宫焚烬事，原来尽是胡儿穴。 到而今、犹见史书中，忠奸别。
第1067集 姓传承血脉，氏代表身份！一秒穿.txt,姓传承血脉，氏代表身份！一秒穿越先秦 —— 血承姓脉，职表氏名。轩辕筑室，燧火通明。 姬周封鲁，司马执兵。公孙非姓，巢匠营生。 古之人兮，立身以氏；今之世兮，逐利忘形。 名实相淆，本末何清？鉴此微义，惕然自惊。
第1068集 学术权威信口雌黄时，该不该挨巴.txt,学术权威信口雌黄时，该不该挨巴掌？ ++++++++++++++++ 《警世七律·读阎教授事有感》 青史斑斑血未干， 鹰犬犹自颂康乾。 格格里巷迷金钏， 粪坑堂皇饰玉冠。 剃发令沉三百载， 复辟心燃一夕寒。 劳动骨节铭真史， 莫使丹心付笑谈。
第1069集 客家人抢名人？真相让人愤怒！#.txt,客家人抢名人？真相让人愤怒！#历史真相 #民族认同 ############ 《客氓》 客兮客兮，非我异类。 徙彼南冈，载饥载渴。 土言诮之，谓我无根。 黄龙北望，胡马嘶风。 谁谓岳侯，伐我家中？ 地理为牢，自缚其躬。 百越非越，炎胄同裳。 杨公祭鼎，豚首煌煌。 抢名者谁？其心可详！ 谣诼日播，百遍成真。 辟者喑哑，闻者昏昏。 愿执子手，共守华轮。
第1070集 山海经其实是史书 古人见过的“.txt,山海经其实是史书 古人见过的“怪兽”可能真实存在 《稽古鉴》 竹简封尘溯岁华，豢龙旧事委虫沙。 董狐笔落诸侯惧，周鼎纹残日月斜。 立表观星勘伪语，分疆刻木证虚花。 莫将青史轻抛却，犹有寒蝉泣晚笳。
第1071集 我们不需要为歧视背锅！中国人必.txt,我们不需要为歧视背锅！中国人必看 #种族歧视行为有哪些 —— 夫天地孕化，万象含灵。肤有玄黄之异，性无贵贱之分。昔者西夷构论，巧立人种之名；白旄扬旌，暗藏歧视之实。蒙古称谓之始，已挟胡骑之怨；颜色划分之时，犹带睥睨之姿。 观其命词遣意，辄见祸心：以仇雠之号为雅称，化病诟之语作科条。犹裹糖衣于鸩毒，饰棘刺以琼英。殊不知青赤出于造化，岂因皮相判贤愚？黑白本属天然，安以肤泽论高下？ 至若华夏子民，素秉中和
第1072集 我们模仿苏联？｜多民族划分背后.txt,我们模仿苏联？｜多民族划分背后的政治逻辑 ——#吃瓜蒙主 《族辩》 夫鸿蒙初判，族类始分。日韩标单一之帜，实藏千绪；华夏举多元之旌，暗隐孤桐。昔者扶桑强定律法，琉球吞声而泣血；韩半岛固守藩篱，阿伊努掩面而伤魂。岂知蓼虫忘辛，鸱鸮嗜鼠，竟以律令为绳墨，视认同作刍狗。 观我中土，汉裔曾占九八之数，本可独标青史。然效北熊分族之策，拆玉镜为碎琼，调朱墨以改史。遂使昆仑竹尽，难书纷杂之谱；沧海珠枯，怎载重叠之
第1073集 战士基因真相 ▶ 不是暴力而是.txt,战士基因真相 ▶ 不是暴力而是绝对冷静！汉族特有天赋# 战士咏怀 铁马冰河演战图，汉家遗烈在基因 岂因躁暴称雄骏？终以沉谋铸甲兵 千载兵戈筛智勇，万邦冠冕让文明 休将玉璞轻雕琢，天演煌煌自有衡
第1074集 旅游业背后的秘密▶️为什么埃及.txt,旅游业背后的秘密▶️为什么埃及人从不质疑金字塔 —— 《金塔辩》 夫埃及故地，沙涌星垂，本存先民冢圹。然今观其迹，巨塔凌霄，巧夺天工之妙，然考其源流，实难辨伪真。昔人营墓，本寄魂归之思；今者造神，竟成谋食之器。 观夫黄沙漫卷，石垒千重，本应存先民智慧；奈何金玉其表，真相隐没，终沦为贾客筹码。彼民噤声，非愚非盲，实困于稻粱之谋；斯文包装，愈演愈烈，终化作摇钱古树。 昔司马迁秉笔直书，岂为五斗折腰？今众
第1075集 晋惠帝式历史观正在毁掉我们 ｜.txt,晋惠帝式历史观正在毁掉我们 ｜警惕用现代标准审判古人的陷阱！ #历史真相 昔贾谊过秦，论暴政而察时势；杜牧阿房，叹奢靡而鉴兴衰。观今之议史者，动以今律古，犹夏虫语冰，何其谬也！晋惠 肉糜 之讥，正类今人嘲青铜之愚。须知缠足非一日之弊，多妾乃百代之制，皆囿于生产力之限，岂可一概论之？夫史者，所以明得失、鉴兴替。若执芯片之尺量周鼎，持人权之刃斩秦制，则史将不史，鉴将不鉴矣！
第1076集 最极端的满清批判：移动的粪坑理.txt,最极端的满清批判：移动的粪坑理论 #历史暴论 ！！！ ———————— 粪坑蝇蛆岂堪留， 浊史腥风四百秋。 蠹简空谈 以史鉴 ， 腐儒妄作沐猴讴。 应知秽土生妖孽， 更见遗毒泛九州。 莫道掏粪非雅事， 除残须效介推忧。
第1077集 权力本质：从狮群到人类的生存法.txt,权力本质：从狮群到人类的生存法则 —— 《世权鉴·上古箴》 昔者鸿蒙初判，牝牡未分。 母系遗踪，徒存推演之迹；父系肇基，始立文明之纲。 观狮群之治，雌狩雄卫，岂因性别而定尊卑？ 察边陲之民，女耕男戍，安以劳逸论功过？ 夫草原坏男孩逞凶，几绝狮种；南陲柴刀客待旦，常悬死生。 故曰：权非天授，力强者掌乾坤；位非虚设，能者守存亡。 今人妄议上古，饰母系为桃源，殊不知： 石斧开天时，弱肉终为强食； 血火争地
第1078集 求同论：当团结遭遇差异政治 —.txt,求同论：当团结遭遇差异政治 ——[同源鉴 ] 夫天地定位，阴阳肇分。江河同源而九派，树木共本而千枝。昔者轩辕制器，仓颉造字，血脉绵延如长江不息；周公制礼，孔子立教，文明承传似泰山巍峨。 然观今之世，有宵小辈，假多元之名，行离间之实。犹记季札观乐，知诸侯兴衰；今见群氓鼓噪，惑天下视听。彼辈终日强调异质，犹如郑声乱雅乐；吾侪恒久追求大同，恰似砥柱立中流。 夫团结之道，在求其同而非显其异。若使主次颠倒，犹
第1079集 汉人武德充沛的铁证：父系基因高.txt,汉人武德充沛的铁证：父系基因高度一致的秘密 #历史真相 —— 七言律诗·汉家武德吟 轩辕血胤五千霜， 禹甸丰腴岂馈觞。 剑指蚩尤平涿野， 弓鸣漠北慑天狼。 基因不掩征伐迹， 父系犹存战骨香。 莫道书生轻武备， 江山原是血痕妆。
第1080集 治理的试错代价｜从加盟共和国看.txt,治理的试错代价｜从加盟共和国看人类组织逻辑 —— 《治道试错赋》 夫天地设位，圣人成能。制度初立，皆出假说之庭；治道方兴，尽在试错之径。昔苏维埃执盟誓而裂疆土，强分部落为百族；今斯坦国弃旧章若敝履，尽逐俄民如寇仇。观其兴衰，岂非明鉴？ 盖闻治大国若烹小鲜，火候失当则糜烂；理万民如织锦绣，经纬错乱必崩析。大毛执纯净之理想，刻意求异而忘本；诸夏秉中庸之智慧，适时折中以存真。故有四百缩为五十六之变，实乃避
第1081集 深入浅出读毛选，生活哲学全掌握.txt,深入浅出读毛选，生活哲学全掌握。 毛选智慧，点亮人生之路。
