原文件名,第一行内容,新文件名
第951集 《四库全书》修订真相：文献的毁.txt,《四库全书》修订真相：文献的毁灭与篡改！ 《四库纂修罪》 篡笔屠文罪岂轻？ 汗青篡罢又焚经。 千年典册成灰烬， 万里河山改画屏。 科技残篇留伪目， 独夫私史著新铭。 可怜华夏文明脉， 修书断送一炬腥！ #焚书坑儒,第951集 四库全书修订真相_文献的毁灭与篡改.txt
第952集 《神仙经济学》 ｜连件好衣裳都.txt,《神仙经济学》 ｜连件好衣裳都穿不起也配叫神仙？ 绛阙由来重盛装，岂容瘦骨效夷光。 吴衣当风承汉韵，周昉施朱胜素缃。 莫道仙家崇简淡，开元粉本自堂皇。 可怜今饰蚊纱客，错把寒酸作鹤翔。,第952集 神仙经济学_连件好衣裳都穿不起也配叫神仙.txt
第953集 《笔墨丹青藏山河》从神仙图样看.txt,《笔墨丹青藏山河》从神仙图样看文化基因的延续！！！ ++++++++++++ 丹青载道，绘事明心。 细目威仪，岂同谄佞？ 童蒙养正，鬼神观成。 西来狡笔，曲意辱形。 绘者知恶，观者惕警。 古典粹美，今俗浊泾。,第953集 笔墨丹青藏山河_从神仙图样看文化基因的延续.txt
第954集 《苏联埋下的雷》 ——民族识别.txt,《苏联埋下的雷》 ——民族识别政策背后的地缘政治隐患 同源异辙 ，本为汉胄； 户口强析 ，遂作夷畴。 削谱认盟 ，效苏俄之故智； 寻祖造神 ，启边衅之隐忧。 三月笙歌 ，犹存上巳旧俗； 盘古血胤 ，谁辨浑天新讎？ 画地为牢 ，终成山河之叹； 剖亲拜义 ，始作干戈之由。,第954集 苏联埋下的雷_民族识别政策背后的地缘政治隐患.txt
第955集 「国足输在哪？太扎心了」 ——.txt,「国足输在哪？太扎心了」 ——钱太多反而毁了荣誉感 —— 《风骨辞》 昔有齐地，蹴鞠为戏，履革成球，踏月如飞。 今作动画，邀胡儿为将，卷髯黑面，称祖述宗。 岂知禹贡分疆，自有英杰；奈何楚材晋用，反诩开通？ 观夫绿茵场上，金帛蔽目，失其本心； 而寒门健儿，悬梁刺股，竞逐长风。 盖华夏之胄，耐苦寒而敏思智，均衡如砥，何须外求？ 然利字当头，骨软筋酥；荣誉既弃，溃如流沙。 愿后来者鉴：毋售其璞，毋隳其魂，,第955集 国足输在哪_钱太多反而毁了荣誉感.txt
第956集 【思维铁锅】炒尽人间百味菜｜三.txt,【思维铁锅】炒尽人间百味菜｜三十岁才懂毛选的好！！！ #学而时习之 ++++++++++++ 思维锤炼箴言 庖丁解牛，道在刀外； 韦编三绝，思贵活参。 史料如山，岂囿蠹简？ 毛选为纲，破执除谵。 矛盾相生，敌友明辨； 闭环既成，万象洞观。 教条者钝，本本者顽； 若烹小鲜，火候为先。,第956集 思维铁锅_三十岁才懂毛选的好.txt
第957集 【长安真相】 ｜ 万邦来朝 背.txt,【长安真相】 ｜ 万邦来朝 背后是铁血军靴与户籍制度！ #吃瓜蒙主 《霓裳辨》 长安幻夜，霓裳非胡。商队络绎，衣冠殊途。 胡无人则汉道昌，圆领禁而市井疏。 岂曰包容？实为鲸吞之势；妄称多元，不过羁縻之图。 移民危厦，终溃于安史；灯塔迷舟，焉渡得重溟？ 嗟乎！昔人琢唐为镜，今人照镜成唐。,第957集 长安真相_万邦来朝背后是铁血军靴与户籍制度.txt
第958集 【门里门外】 你得先拜码头 ｜.txt,【门里门外】 你得先拜码头 ｜文艺圈丛林法则实录！ #吃瓜蒙主 《文苑锁麟》 朱门深锁拒春阳， 艺苑谁裁尺短长。 旗谱翻成评骘谱， 刀光铸就审音堂。 九流暗渡承荫客， 百代明偷篡史郎。 莫道阴晴无定数， 观书先辨镜中霜。,第958集 门里门外_你得先拜码头_文艺圈丛林法则实录.txt
第959集 〖肉食者鄙〗与〖圣人〗与〖人民.txt,〖肉食者鄙〗与〖圣人〗与〖人民万岁〗。 肉食者鄙，智远利私； 圣人垂范，与民同趋。 儒家立道，权责相宜； 民本为根，国运所依。 王侯无种，教化无歧； 德配其位，万世可期。 民心所向，天意可知； 千秋功业，尽在斯时。,第959集 肉食者鄙与圣人与人民万岁.txt
第960集 中国汉服复兴运动的三次重要历史.txt,中国汉服复兴运动的三次重要历史节点及其被打断的共同特征。 # ++++++++++++ 《满江红·汉服三劫》 百载衣冠，经几度、腥风摧折。 辛亥火、燎原方炽，忽逢霜雪。 马褂强颁为国服，金陵一夜霓裳绝。 叹中正、何故择旗装？心难测！ 建国岁，重鸣钺。 开国典，汉旌猎。 更银幕传薪，刘三姐烈。 谁料八零年又变，旗袍再断神州月。 到而今、三劫俱同途，惊魂瞥！,第960集 中国汉服复兴运动的三次重要历史节点.txt
第961集 中国雅乐被夺真相 ——日本藏原.txt,中国雅乐被夺真相 ——日本藏原始档案拒归还！ ——《劫余吟》 雅乐倾颓典籍空， 劫灰深处泣焦桐。 窃书枉蓄千箱蠹， 废医徒留百草笼。 辩证岂随成方固？ 民魂终共岁时雄。 莫忘阅兵章耀日， 东风已醒旧云鸿。 #脚盆的民族劣根性,第961集 中国雅乐被夺真相_日本藏原始档案拒归还.txt
第962集 互联网乱象的根源——政治正确的.txt,互联网乱象的根源——政治正确的危害 ——《唯物谣》 唯物惟实兮，天道昭彰， 政治正确兮，乱我纲常。 巧言如簧兮，实理湮亡， 守正斥伪兮，华夏之光。 彼姝者子兮，徒饰华裳， 忘其根本兮，慕效夷邦。 网络汹汹兮，众口铄金， 秉心持正兮，道义自张。,第962集 互联网乱象的根源_政治正确的危害.txt
第963集 五代为何最黑暗？ 正统权分离的.txt,五代为何最黑暗？ 正统权分离的恶果——李世民要背的大黑锅！ #吃瓜蒙主 #以史为鉴 《正统鉴》 ——夫观沧海之变，当溯其源； 察世态之迁，必究其本。 昔者唐宗英迈，天纵神武，驰骋八荒，威加四海。 然 朕独爱之如一 之诏，虽显胸襟，实埋祸根。 正统之权，遂如星散；华夷之辨，渐次模糊。 ——忆昔五胡乱华，犹知仰慕华夏，倾心汉化。 至若李唐盛世，万邦来朝，归附如云。 奈何扩张无度，建制不立，致使藩镇坐大，,第963集 五代为何最黑暗_正统权分离的恶果.txt
